prediction,Electoral District,GP,NDP,CP,Other,Total Valid Votes,Advance Voting Ballot Boxes,Final Voting Day Ballot Boxes,Out-of-district ballots,type1,type2,total
CPBC leaning,Abbotsford-Mission,0,"10,560","13,254",0,"23,814",5 of 5,16 of 16,Complete,358,246,604
CPBC safe,Abbotsford South,0,"7,232","12,853",670,"20,755",5 of 5,18 of 18,Complete,289,149,438
CPBC safe,Abbotsford West,0,"6,949","11,225",914,"19,088",4 of 4,16 of 16,Complete,372,223,595
CPBC leaning,Boundary-Similkameen,"1,422","10,271","11,733",771,"24,197",10 of 10,22 of 22,Complete,346,123,469
NDP likely,Bulkley Valley-Stikine,588,"3,602","4,875",236,"9,301",5 of 5,24 of 24,Complete,134,107,241
NDP likely,Burnaby Centre,0,"9,413","7,121",0,"16,534",5 of 5,11 of 11,Complete,364,163,527
NDP safe,Burnaby East,"1,490","10,060","7,991",0,"19,541",6 of 6,12 of 12,Complete,463,234,697
NDP safe,Burnaby-New Westminster,0,"10,260","5,985",922,"17,167",4 of 4,13 of 13,Complete,361,218,579
NDP safe,Burnaby North,0,"10,359","8,459",736,"19,554",4 of 4,13 of 13,Complete,399,186,585
NDP safe,Burnaby South-Metrotown,920,"7,295","6,189",415,"14,819",4 of 4,13 of 13,Complete,333,179,512
CPBC safe,Cariboo-Chilcotin,0,"5,847","13,461",0,"19,308",7 of 7,41 of 41,Complete,231,223,454
NDP Toss up,Chilliwack-Cultus Lake,0,"10,856","13,307",0,"24,163",6 of 6,15 of 15,Complete,617,234,851
CPBC safe,Chilliwack North,"1,133","7,777","11,493",473,"20,876",4 of 4,16 of 16,Complete,399,281,680
CPBC safe,Columbia River-Revelstoke,"1,394","7,903","8,616",0,"17,913",7 of 7,19 of 19,Complete,240,616,856
NDP leaning,Coquitlam-Burke Mountain,0,"10,613","10,354",0,"20,967",5 of 5,13 of 13,Complete,457,254,711
NDP likely,Coquitlam-Maillardville,"1,411","11,568","8,939",520,"22,438",4 of 4,17 of 17,Complete,400,266,666
NDP likely,Courtenay-Comox,"6,988","12,916","13,149",628,"33,681",6 of 6,18 of 18,Complete,759,236,995
NDP leaning,Cowichan Valley,"5,599","11,426","10,699",591,"28,315",6 of 6,20 of 20,Complete,546,253,799
